book_id,title,author,available
1,파이썬 입문,홍길동,True
2,자료구조 기초,김영희,False
3,알고리즘 시작,이민수,True
4,웹 프로그래밍 기초,박지훈,True
5,데이터베이스 개론,최수진,False
6,C언어 첫걸음,정우성,True
7,자바 프로그래밍,강민아,True
8,인공지능 개론,한지민,False
9,머신러닝 기초,오세훈,True
10,딥러닝 실습,윤가영,True
11,컴퓨터 네트워크,서민재,False
12,운영체제 이해,김도현,True
13,소프트웨어 공학,이서연,True
14,정보보안 입문,박성민,False
15,리눅스 기초,조현우,True
16,파이썬 데이터 분석,최지우,True
17,ROS2 로봇 프로그래밍,남지훈,False
18,임베디드 시스템 개론,문예린,True
19,컴퓨터 구조,배성우,True
20,객체지향 프로그래밍,신유진,False
21,모바일 앱 개발,유동현,True
22,HTML CSS 기초,차은별,True
23,JavaScript 실전,장민호,False
24,게임 개발 입문,손예진,True
25,유니티 프로그래밍,백지훈,True
26,빅데이터 개론,안소희,False
27,파이썬 프로젝트 실습,권민재,True
28,데이터 시각화 기초,하유진,True
29,클라우드 컴퓨팅,노태윤,False
30,IoT 시스템 설계,임수아,True